epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,2210,1.77864,1.1314,0.84693,0.66348,0.45,0.43632,0.18521,2.76052,1.69822,0.88955,0.0005942,0.0005942,0.0005942
144,2226.11,1.63281,1.11361,0.85276,0.66765,0.45,0.43022,0.19726,2.72459,1.6872,0.88092,0.0005843,0.0005843,0.0005843
145,2240.99,1.58674,1.09812,0.87996,0.57984,0.4,0.36829,0.20417,2.69016,1.69599,0.87176,0.0005744,0.0005744,0.0005744
146,2256.68,1.35031,1.05545,0.86625,0.59905,0.4,0.35664,0.19936,2.66456,1.6822,0.85233,0.0005645,0.0005645,0.0005645
147,2272.18,1.53321,1.02963,0.84926,0.60453,0.38306,0.35289,0.19808,2.63132,1.65178,0.83522,0.0005546,0.0005546,0.0005546
148,2287.42,1.40936,1.05305,0.87531,0.62331,0.4,0.41711,0.19985,2.59795,1.62045,0.82245,0.0005447,0.0005447,0.0005447
149,2302.51,1.74927,1.14244,0.84985,0.64106,0.44674,0.416,0.20846,2.5256,1.58367,0.80527,0.0005348,0.0005348,0.0005348
150,2318.14,1.58168,1.02424,0.86273,0.61586,0.45,0.42228,0.21127,2.45675,1.56475,0.78899,0.0005249,0.0005249,0.0005249
151,2333.24,1.66034,1.17956,0.87832,0.62447,0.45,0.42719,0.21198,2.42703,1.55968,0.78436,0.000515,0.000515,0.000515
152,2348.23,1.54507,0.97298,0.8215,0.64936,0.45,0.45587,0.2153,2.43433,1.58432,0.79133,0.0005051,0.0005051,0.0005051
153,2363.12,1.80703,1.33984,0.89374,0.6672,0.45,0.46217,0.21776,2.48125,1.61374,0.80902,0.0004952,0.0004952,0.0004952
154,2378.31,1.39737,0.95431,0.84505,0.67557,0.45,0.4399,0.21517,2.57101,1.65427,0.83871,0.0004853,0.0004853,0.0004853
